approach,reviews_per_day,avg_stale_rate,avg_precision,avg_surfaced_after,avg_archived,missed_critical,model
poll_30min,48.0,0.065,1.0,4.85,0.0,n/a,poll_first_review
poll_45min,32.0,0.21,0.56,4.85,0.0,n/a,poll_first_review
poll_60min,24.0,0.9025,0.0,4.85,0.0,n/a,poll_first_review
poll_30min_archive,48.0,0.6411,0.6694,5.0,45.4,n/a,poll_batch_archive
poll_45min_archive,32.0,0.6481,0.614,5.0,37.41,n/a,poll_batch_archive
poll_60min_archive,24.0,0.6752,0.6375,5.0,48.73,n/a,poll_batch_archive
push_default,41.1,n/a,trigger-only,16.27,n/a,0,push
push_sensitive,41.25,n/a,trigger-only,16.25,n/a,0,push
push_conservative,40.35,n/a,trigger-only,16.4,n/a,0,push
