tier,grammar_family,n_cards,hit_count,expired_count,hit_rate,tte_mean,tte_median,tte_p25,tte_p75,tte_p90,expiry_before_hit,decayed_but_late_hit,current_hl_min,recommended_hl_min
actionable_watch,beta_reversion,1,1,0,1.0,25,25.0,25.0,25.0,25.0,0,0,40,40
actionable_watch,positioning_unwind,5,5,0,1.0,17.8,25.0,7.0,25.0,25.0,0,0,40,30
baseline_like,baseline,7,0,7,0.0,,,,,,0,0,90,90
monitor_borderline,baseline,10,0,10,0.0,,,,,,0,0,60,60
monitor_borderline,flow_continuation,7,0,7,0.0,,,,,,0,0,60,60
research_priority,baseline,3,0,3,0.0,,,,,,0,0,50,50
research_priority,beta_reversion,1,1,0,1.0,25,25.0,25.0,25.0,25.0,0,0,50,50
research_priority,flow_continuation,1,0,1,0.0,,,,,,0,0,50,50
research_priority,positioning_unwind,25,25,0,1.0,13.5,7.0,7.0,25.0,25.0,0,0,50,30
